City ID,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Grand Gaube,MU,-20.0064,57.6608,72.0,60,2,5.01,Clear Sky
201,Kilindoni,TZ,-7.9139,39.6668,78.17,79,15,5.46,Few Clouds
202,Itarema,BR,-2.9248,-39.9167,79.45,74,56,13.11,Broken Clouds
203,Shenjiamen,CN,29.9576,122.298,56.98,76,100,12.97,Overcast Clouds
204,Upernavik,GL,72.7868,-56.1549,23.16,91,100,15.68,Light Snow
205,Teresina,BR,-5.0892,-42.8019,73.11,94,100,8.05,Overcast Clouds
206,Praya,CV,14.9215,-23.5087,75.74,69,20,13.8,Few Clouds
207,Nzega,RW,-2.479,29.5564,57.52,93,98,2.55,Light Rain
208,Saint George,US,37.1041,-113.5841,46.99,43,0,4.0,Clear Sky
209,Palmares Do Sul,BR,-30.2578,-50.5097,66.25,67,0,11.23,Clear Sky
210,Helong,CN,42.5397,128.9972,37.96,42,5,6.91,Clear Sky
211,Breytovo,RU,58.2993,37.8617,28.17,86,34,5.66,Scattered Clouds
212,Pandaria,IN,22.2333,81.4167,69.28,42,2,2.95,Clear Sky
213,Campos Belos,BR,-13.0367,-46.7717,71.17,88,100,2.91,Moderate Rain
214,Jamestown,US,42.097,-79.2353,35.19,91,100,3.44,Overcast Clouds
215,Taltal,CL,-25.4,-70.4833,62.6,76,18,3.58,Few Clouds
216,Santa Fe,AR,-31.6333,-60.7,67.98,59,0,6.24,Light Rain
217,Omboue,GA,-1.5746,9.2618,74.68,92,98,6.06,Overcast Clouds
218,Lasa,IT,46.6166,10.7002,35.02,80,14,0.83,Few Clouds
219,Chulman,RU,56.8479,124.9104,3.81,90,100,3.11,Overcast Clouds
220,Islamnagar,IN,28.3333,78.7167,69.93,50,43,6.64,Scattered Clouds
221,Isla Mujeres,MX,21.2311,-86.731,80.65,77,23,12.84,Light Rain
222,Eenhana,NA,-17.4667,16.3333,71.24,21,75,6.62,Broken Clouds
223,Ilheus,BR,-14.7889,-39.0494,73.89,95,64,4.5,Broken Clouds
224,Kiama,AU,-34.6833,150.8667,73.38,69,39,3.0,Light Rain
225,Uglovskoye,RU,51.3557,80.1942,41.07,82,100,23.29,Light Rain
226,Porto Velho,BR,-8.7619,-63.9039,77.05,47,75,1.14,Broken Clouds
227,Hamilton,US,39.1834,-84.5333,36.88,72,0,9.22,Clear Sky
228,Mogadishu,SO,2.0371,45.3438,78.62,80,25,9.28,Light Rain
229,Waddan,LY,29.1614,16.139,59.86,48,0,1.97,Clear Sky
230,Frontera,MX,26.9333,-101.45,63.32,44,3,3.0,Clear Sky
231,Natal,BR,-5.795,-35.2094,77.65,78,40,8.05,Scattered Clouds
232,Vestmannaeyjar,IS,63.4427,-20.2734,45.68,83,100,11.61,Overcast Clouds
233,Codrington,AU,-38.2667,141.9667,51.44,66,97,17.87,Overcast Clouds
234,Evensk,RU,61.95,159.2333,18.28,68,100,21.61,Overcast Clouds
235,Waingapu,ID,-9.6567,120.2641,87.15,66,39,7.63,Scattered Clouds
236,Cherskiy,RU,68.75,161.3,-28.71,100,95,6.04,Overcast Clouds
237,Huarmey,PE,-10.0681,-78.1522,64.26,85,19,7.58,Few Clouds
238,Kyra,RU,49.5776,111.9753,27.25,46,89,3.33,Overcast Clouds
239,High Rock,BS,26.6208,-78.2833,71.62,76,0,13.44,Clear Sky
240,Moju,BR,-1.8839,-48.7689,74.23,95,40,3.74,Scattered Clouds
241,Tanout,NE,14.9709,8.8879,65.23,21,57,10.58,Broken Clouds
242,Kathu,TH,7.9178,98.3332,80.42,82,100,9.86,Overcast Clouds
243,Dikson,RU,73.5069,80.5464,4.66,96,100,16.96,Snow
244,Coihueco,CL,-36.6167,-71.8333,59.74,77,0,6.91,Clear Sky
245,Zyryanka,RU,65.75,150.85,-25.46,93,47,3.42,Scattered Clouds
246,Rocha,UY,-34.4833,-54.3333,62.78,81,100,14.52,Overcast Clouds
247,Jagdalpur,IN,19.0667,82.0333,66.56,54,6,3.53,Clear Sky
248,Port Elizabeth,ZA,-33.918,25.5701,62.89,88,0,10.36,Clear Sky
249,Te Anau,NZ,-45.4167,167.7167,65.39,43,100,7.02,Overcast Clouds
250,Vung Tau,VN,10.346,107.0843,83.41,71,59,7.83,Broken Clouds
251,Sorland,NO,67.667,12.6934,42.66,71,4,22.41,Clear Sky
252,Monywa,MM,22.1167,95.1333,75.92,58,0,7.85,Clear Sky
253,Obo,CF,5.3998,26.4869,65.64,65,100,2.39,Overcast Clouds
254,Cockburn Town,TC,21.4612,-71.1419,81.34,72,4,13.18,Clear Sky
255,Fredericksburg,US,38.3032,-77.4605,38.32,79,0,0.0,Clear Sky
256,Port-Cartier,CA,50.0334,-66.8654,26.28,88,88,7.45,Overcast Clouds
257,Cornwall,CA,45.0181,-74.7281,30.85,59,0,3.44,Clear Sky
258,Karlskoga,SE,59.3267,14.5239,43.92,96,62,4.14,Broken Clouds
259,Moron,AR,-34.6534,-58.6198,65.89,63,0,5.37,Clear Sky
260,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,71.46,73,0,3.38,Clear Sky
261,Tecoanapa,MX,16.5167,-98.75,79.27,81,5,6.06,Clear Sky
262,Meulaboh,ID,4.1363,96.1285,77.07,88,100,5.23,Overcast Clouds
263,Kitoy,RU,52.6,103.9,18.48,73,89,2.93,Overcast Clouds
264,Fare,PF,-16.7,-151.0167,79.12,75,98,3.65,Overcast Clouds
265,Berbera,SO,10.4396,45.0143,77.83,66,0,5.7,Clear Sky
266,Chuy,UY,-33.6971,-53.4616,61.23,94,100,11.86,Overcast Clouds
267,Joshimath,IN,30.5667,79.5667,53.8,59,27,1.92,Scattered Clouds
268,Tazovskiy,RU,67.4667,78.7,-18.99,93,25,5.35,Scattered Clouds
269,Brora,GB,58.0099,-3.8518,51.89,94,95,22.59,Overcast Clouds
270,Gull Lake,CA,50.1001,-108.4847,17.24,97,100,9.01,Overcast Clouds
271,Arraial Do Cabo,BR,-22.9661,-42.0278,73.49,95,100,27.67,Overcast Clouds
272,Ola,RU,59.5833,151.2833,13.95,68,16,9.66,Few Clouds
273,Carahue,CL,-38.7,-73.1667,50.07,98,32,1.5,Scattered Clouds
274,Aasiaat,GL,68.7098,-52.8699,26.2,95,100,16.02,Light Snow
275,Chumikan,RU,54.7183,135.315,19.45,78,44,16.78,Scattered Clouds
276,Illela,NG,13.7292,5.2975,69.37,20,78,10.27,Broken Clouds
277,Ribeira Grande,PT,38.5167,-28.7,60.78,85,36,5.99,Scattered Clouds
278,Hasaki,JP,35.7333,140.8333,56.21,80,100,16.91,Light Rain
279,Masty,BY,53.4122,24.5387,36.23,92,48,6.89,Scattered Clouds
280,Leningradskiy,RU,69.3833,178.4167,-7.53,96,74,4.56,Broken Clouds
281,Weiser,US,44.251,-116.9693,30.87,81,1,3.0,Clear Sky
282,Menongue,AO,-14.6585,17.691,65.1,75,95,3.71,Overcast Clouds
283,Khonsa,IN,27.0167,95.5667,68.31,50,0,2.8,Clear Sky
284,Walvis Bay,NA,-22.9575,14.5053,61.75,82,0,3.44,Clear Sky
285,Carnarvon,AU,-24.8667,113.6333,84.36,38,0,4.9,Clear Sky
286,Ilulissat,GL,69.2167,-51.1,30.22,80,100,16.11,Light Snow
287,Camopi,GF,3.1655,-52.3158,71.73,98,16,2.84,Few Clouds
288,Chimoio,MZ,-19.1164,33.4833,63.5,97,100,9.17,Light Rain
289,Luderitz,NA,-26.6481,15.1594,58.3,94,6,7.61,Clear Sky
290,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,73,0,9.22,Clear Sky
291,Esperance,AU,-33.8667,121.9,60.8,59,90,11.92,Overcast Clouds
292,Polson,US,47.6936,-114.1632,12.83,97,85,1.39,Overcast Clouds
293,Sur,OM,22.5667,59.5289,78.71,53,0,5.84,Clear Sky
294,Kodiak,US,57.79,-152.4072,31.51,93,0,3.44,Clear Sky
295,Airai,TL,-8.9266,125.4092,78.4,49,58,1.57,Broken Clouds
296,Saint-Louis,SN,16.3333,-15.0,81.14,18,85,10.02,Overcast Clouds
297,Gulu,UG,2.7746,32.299,64.65,92,85,1.59,Overcast Clouds
298,Yarensk,RU,62.1675,49.0916,13.87,87,99,6.26,Overcast Clouds
299,Taicheng,CN,38.731,113.228,42.21,31,0,4.9,Clear Sky
300,Roebourne,AU,-20.7833,117.1333,85.24,37,5,10.83,Clear Sky
301,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,64.49,36,0,2.15,Clear Sky
302,Balikpapan,ID,-1.2675,116.8289,76.19,94,20,4.61,Light Rain
303,Jacksonville,US,30.3322,-81.6556,69.04,85,100,12.66,Mist
304,Warrenton,ZA,-28.114,24.8475,65.82,56,1,12.44,Clear Sky
305,Khingansk,RU,49.1167,131.1833,21.2,77,94,6.15,Overcast Clouds
306,Longyearbyen,SJ,78.2186,15.6401,26.44,74,40,20.71,Scattered Clouds
307,Manturovo,RU,58.3353,44.7619,26.53,86,100,9.51,Overcast Clouds
